method,variant_id,method_instance,k,r,descent_sharpness,n_runs,n_cells_observed,n_trace_available,trace_coverage,final_best_mean,final_best_median,first_floor_gen_trace_mean,floor_gens_trace_mean,descent_gens_trace_mean,sigma_volume_total_mean,sigma_volume_descent_mean,sigma_volume_floor_mean,descent_volume_fraction_mean,mean_log_contraction_descent_mean,std_log_contraction_descent_mean
proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p05,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p05,0.88,0.05,2.5566674301976975,1800,36,720,0.4,27352.143850641023,74.11550803348753,65.27083333333333,30.052777777777777,64.3625,45.862228063898065,42.85695028612029,3.0052777777777773,0.9259667795348664,0.014012832013321165,0.047060470560621466
proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p07,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p07,0.88,0.07,1.8261910215697839,1800,36,720,0.4,27501.16535088041,87.29816404782159,57.62083333333333,37.88472222222222,56.666666666666664,47.342229363416514,42.03836825230541,5.303861111111112,0.8765825070537179,0.014604730984872867,0.04668844570950698
proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p1,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p1,0.88,0.1,1.2783337150988487,1800,36,720,0.4,28667.540704465002,109.80565290206204,48.955555555555556,46.99722222222222,47.96805555555556,50.090000706166244,40.690556261721795,9.399444444444443,0.7988729974870351,0.015803509175058,0.04683383888414027
proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p15,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p15,0.88,0.15,0.8522224767325659,1800,36,720,0.4,34515.768961532565,141.99614799881024,40.606944444444444,57.15416666666667,39.606944444444444,55.63176028436577,38.48551028436576,17.146250000000006,0.6783311106062152,0.015757563176979555,0.04706518995287271
proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p2,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p2,0.88,0.2,0.6391668575494244,1800,36,720,0.4,40105.986710943616,155.56495091232557,34.981944444444444,63.5125,33.981944444444444,61.929020685855896,36.52402068585591,25.404999999999994,0.5783825189646223,0.015626021150317797,0.04720076733900449
proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p25,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p25,0.88,0.25,0.5113334860395395,1800,36,720,0.4,49802.911179659815,173.85983701911647,30.745833333333334,68.22083333333333,29.745833333333334,68.7145137780911,34.604097111424444,34.110416666666666,0.4945427930050874,0.01560536338742734,0.04746740380677732
proxy_sigma_controller,geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p02,0.93,0.02,3.6285346417417688,1800,36,720,0.4,30638.428386308402,58.57499779379771,84.63472222222222,13.631944444444445,83.99722222222222,46.62217112625541,46.076893348477626,0.5452777777777779,0.9856730808362851,0.009745159632741106,0.032100911267027785
proxy_sigma_controller,geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p03,0.93,0.03,2.4190230944945124,1800,36,720,0.4,30665.55846787156,60.90118664965177,78.12083333333334,19.56111111111111,77.32083333333334,46.98732359218229,45.81365692551562,1.1736666666666669,0.9703130546975252,0.009653822033157504,0.03158771049831962
proxy_sigma_controller,geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p05,proxy_sigma_controller:geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p05,0.93,0.05,1.4514138566967074,1800,36,720,0.4,30462.60428751608,70.58624339484902,67.95555555555555,29.37361111111111,67.04305555555555,48.07023221308605,45.13287110197494,2.9373611111111106,0.9309120708346598,0.009760573182961285,0.030841145644459673
proxy_sigma_controller,geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p07,proxy_sigma_controller:geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p07,0.93,0.07,1.0367241833547909,1800,36,720,0.4,30618.592521915132,82.53445387359183,59.95,37.109722222222224,58.99583333333333,49.51044031369956,44.315079202588464,5.195361111111111,0.8846720905732964,0.010322412142631784,0.03041287751469416
