method,variant_id,method_instance,function,dimension,noise_sigma,k,r,descent_sharpness,n_runs,n_trace_available,trace_coverage,final_best_mean,final_best_median,first_floor_gen_trace_mean,floor_gens_trace_mean,descent_gens_trace_mean,sigma_volume_total_mean,sigma_volume_descent_mean,sigma_volume_floor_mean,descent_volume_fraction_mean,mean_log_contraction_descent_mean,std_log_contraction_descent_mean
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,rosenbrock,20,0.2,0.86,0.02,7.541144486729183,50,50,1.0,91.4067359752656,84.40761385503872,96.5,3.3,96.12,43.71935948173625,43.587359481736236,0.132,0.9966563803936026,0.0109651414776167,0.051371281629849636
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,rosenbrock,40,0.0,0.86,0.02,7.541144486729183,50,5,0.1,496.90531911419185,428.44917711683195,100.0,0.0,100.0,61.169284306533015,61.169284306533015,0.0,1.0,0.006893770769523487,0.04683679613815374
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,rosenbrock,40,0.1,0.86,0.02,7.541144486729183,50,5,0.1,495.89390354559634,428.52228945309633,100.0,0.0,100.0,61.175960571762346,61.175960571762346,0.0,1.0,0.0068346531650403984,0.046864531981134265
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,rosenbrock,40,0.2,0.86,0.02,7.541144486729183,50,5,0.1,489.03673495390643,416.49888143905514,100.0,0.0,100.0,61.18031431158761,61.18031431158761,0.0,1.0,0.00677553556055731,0.046891788816969565
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,sphere,10,0.0,0.86,0.02,7.541144486729183,50,50,1.0,0.000862977424178286,0.0008588796525668999,63.56,36.88,62.56,39.80657279123569,38.33137279123569,1.4752000000000003,0.9613720297764391,0.0036965259328430237,0.04019688082790381
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,sphere,10,0.1,0.86,0.02,7.541144486729183,50,50,1.0,-0.22143887546220523,-0.2212984048375091,59.76,37.0,58.76,39.61948489405342,38.13948489405342,1.4800000000000002,0.9615453558120217,0.018197431013987256,0.05838883136522169
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,sphere,10,0.2,0.86,0.02,7.541144486729183,50,50,1.0,-0.45071209555881664,-0.4607504276383585,56.26,40.72,55.26,39.078259533341694,37.449459533341695,1.6288000000000002,0.9572020995588821,0.02601591183055032,0.06493235319023874
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,sphere,20,0.0,0.86,0.02,7.541144486729183,50,50,1.0,0.026698804069008,0.02027628355977185,96.66,3.52,96.02,54.78474751423748,54.64394751423748,0.1408,0.9973039274561752,-0.0006540238907860852,0.04128034490864635
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,sphere,20,0.1,0.86,0.02,7.541144486729183,50,50,1.0,-0.0792013344144452,-0.0819806957646668,90.08,9.12,89.16,55.407016864525474,55.04221686452547,0.3648,0.9931636072106536,0.006564739420222762,0.04966006264991564
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,sphere,20,0.2,0.86,0.02,7.541144486729183,50,50,1.0,-0.23845873008786625,-0.25125140604050755,85.6,13.66,84.6,55.6625111700135,55.116111170013504,0.5464000000000001,0.9899794262126964,0.009996389902599328,0.05410036708577192
