method,variant_id,method_instance,function,dimension,noise_sigma,k,r,descent_sharpness,n_runs,n_trace_available,trace_coverage,final_best_mean,final_best_median,first_floor_gen_trace_mean,floor_gens_trace_mean,descent_gens_trace_mean,sigma_volume_total_mean,sigma_volume_descent_mean,sigma_volume_floor_mean,descent_volume_fraction_mean,mean_log_contraction_descent_mean,std_log_contraction_descent_mean
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,ellipsoid_cond1e6,10,0.2,0.9,0.05,2.1072103131565254,50,5,0.1,680.0074557997194,523.261824978207,40.4,37.4,39.4,27.24364347217129,23.50364347217129,3.7399999999999998,0.8565139265942348,0.08189382813463142,0.03914209427054259
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,ellipsoid_cond1e6,20,0.0,0.9,0.05,2.1072103131565254,50,5,0.1,25336.730258204127,21706.978524682596,66.0,15.6,65.0,31.646877586974643,30.08687758697464,1.5600000000000003,0.9497219929085683,0.04920419928136972,0.05360165824030809
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,ellipsoid_cond1e6,20,0.1,0.9,0.05,2.1072103131565254,50,5,0.1,25459.745441455372,21707.168484282935,66.0,15.6,65.0,31.646877586974643,30.08687758697464,1.5600000000000003,0.9497219929085683,0.04920419928136972,0.05360165824030809
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,ellipsoid_cond1e6,20,0.2,0.9,0.05,2.1072103131565254,50,5,0.1,25459.746138837792,21707.16050530743,66.0,15.6,65.0,31.646877586974643,30.08687758697464,1.5600000000000003,0.9497219929085683,0.04920419928136972,0.05360165824030809
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,ellipsoid_cond1e6,40,0.0,0.9,0.05,2.1072103131565254,50,5,0.1,250285.79192409106,224594.8336016636,83.4,8.4,82.6,39.41769909951525,38.57769909951524,0.8400000000000001,0.9790864692899103,0.032436632257430556,0.05224238821746896
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,ellipsoid_cond1e6,40,0.1,0.9,0.05,2.1072103131565254,50,5,0.1,250285.79239819612,224594.84084673837,83.4,8.4,82.6,39.41769909951525,38.57769909951524,0.8400000000000001,0.9790864692899103,0.032436632257430556,0.05224238821746896
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,ellipsoid_cond1e6,40,0.2,0.9,0.05,2.1072103131565254,50,5,0.1,250285.7527487895,224594.92196838273,83.4,8.4,82.6,39.41769909951525,38.57769909951524,0.8400000000000001,0.9790864692899103,0.032436632257430556,0.05224238821746896
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,rastrigin,10,0.0,0.9,0.05,2.1072103131565254,50,5,0.1,17.54385117287064,15.269873373825796,37.2,62.2,36.2,33.13484300590616,26.914843005906164,6.219999999999998,0.8091902172971637,0.05731400626430111,0.05205493677195494
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,rastrigin,10,0.1,0.9,0.05,2.1072103131565254,50,5,0.1,18.22909791635353,15.471069256277357,38.2,61.8,37.2,33.72912635646857,27.54912635646857,6.179999999999998,0.8119673539612512,0.055708451405436156,0.05416388205709492
proxy_sigma_controller,int_k090_r005_t016_035,proxy_sigma_controller:int_k090_r005_t016_035,rastrigin,10,0.2,0.9,0.05,2.1072103131565254,50,5,0.1,20.28760759283242,18.80743936280718,39.0,59.6,38.0,34.41939157261496,28.459391572614958,5.959999999999999,0.8242527695312244,0.060171099753533755,0.05440963359963917
